count_nintendo_games,name_column,platform_column,year_game,genre_column,transform_date
663,ANOTHER CODE R: A JOURNEY INTO LOST MEMORIES,Wii,2009,Adventure,2023-08-25
664,FAMICOM MINI: BALLOON FIGHT,GBA,2004,Action,2023-08-25
665,OSU! TATAKAE! OUENDAN,DS,2005,Misc,2023-08-25
666,MARIO VS. DONKEY KONG: TIPPING STARS,3DS,2015,Puzzle,2023-08-25
667,DEVIL'S THIRD,WiiU,2015,Action,2023-08-25
668,EIGO DE TABISURU: LITTLE CHARO,DS,2011,Misc,2023-08-25
669,TABI NO YUBISASHI KAIWACHOU DS: DS SERIES 3 KANKOKU,DS,2006,Misc,2023-08-25
670,DANCE DANCE REVOLUTION: MARIO MIX (JP SALES),GC,2005,Simulation,2023-08-25
671,CULDCEPT REVOLT,3DS,2016,Strategy,2023-08-25
672,MAWASHITE TSUNAGERU TOUCH PANIC,DS,2006,Puzzle,2023-08-25
673,TABI NO YUBISASHI KAIWACHOU DS: DS SERIES 2 CHUUGOKU,DS,2006,Misc,2023-08-25
674,QUIZ PARTY,Wii,2012,Misc,2023-08-25
675,WII DE ASOBU CHIBI-ROBO!,Wii,2009,Adventure,2023-08-25
676,TABI NO YUBISASHI KAIWACHOU DS: DS SERIES 1 THAI,DS,2006,Misc,2023-08-25
677,SEKAI NO GOHAN SHABERU! DS ORYOURI NAVI,DS,2008,Misc,2023-08-25
678,MINNA GA SHUYAKU NO NHK KOUHAKU QUIZ KASSEN,Wii,2009,Misc,2023-08-25
679,HANA TO IKIMO NO RITTAI ZUKAN,3DS,2011,Misc,2023-08-25
680,TABI NO YUBISASHI KAIWACHOU DS: DS SERIES 5 DEUTSCH,DS,2006,Misc,2023-08-25
681,FAMICOM MINI: CLU CLU LAND,GBA,2004,Puzzle,2023-08-25
682,FAMICOM REMIX BEST CHOICE,3DS,2015,Action,2023-08-25
683,MAGICAL STARSIGN (JP SALES),DS,2006,Role-Playing,2023-08-25
684,ELECTROPLANKTON,DS,2005,Misc,2023-08-25
685,SUUJIN TAISEN,DS,2007,Strategy,2023-08-25
686,METROID PRIME: FEDERATION FORCE,3DS,2016,Action,2023-08-25
687,EYESHIELD 21: FIELD SAIKYOU NO SENSHI TACHI,Wii,2007,Role-Playing,2023-08-25
688,EYESHIELD 21: DEVILBATS DEVILDAYS,GBA,2006,Role-Playing,2023-08-25
689,CALCIO BIT,GBA,2006,Sports,2023-08-25
690,1000 COOKING RECIPES FROM ELLE À TABLE,DS,2010,Misc,2023-08-25
691,TEDDY TOGETHER,3DS,2016,Simulation,2023-08-25
692,WII DE ASOBU: METROID PRIME,Wii,N/A,Shooter,2023-08-25
693,WII DE ASOBU: METROID PRIME,Wii,N/A,Shooter,2023-08-25
694,OTONA NO RENAI SHOUSETSU: HARLEQUIN SELECTION,DS,2010,Misc,2023-08-25
695,JET IMPULSE,DS,N/A,Simulation,2023-08-25
696,DONKEY KONG JUNGLE BEAT,Wii,2008,Platform,2023-08-25
697,NINTENDOGS AND CATS GOLDEN RETRIEVER AND NEW FRIENDS,3DS,2011,Action,2023-08-25
698,SLIDE ADVENTURE: MAG KID,DS,2007,Action,2023-08-25
699,MARIO VS. DONKEY KONG: TIPPING STARS,WiiU,2015,Puzzle,2023-08-25
700,ART ACADEMY: HOME STUDIO,WiiU,2015,Misc,2023-08-25
701,CAPTAIN RAINBOW,Wii,2008,Adventure,2023-08-25
702,MARIO & LUIGI: PAPER JAM & MARIO KART 7 DOUBLE PACK,3DS,2015,Misc,2023-08-25
